Feature,Dir_caudate,Dir_dlpfc,ensemblID,Symbol,adj.P.Val,logFC,t
ENSG00000188730.4,1.0,-1.0,ENSG00000188730,VWC2,1.2886359715539e-13,0.372957824132967,8.7889954496477
ENSG00000132639.12,1.0,-1.0,ENSG00000132639,SNAP25,3.10874615765816e-07,0.200928954698963,6.22127985232237
ENSG00000116679.15,1.0,-1.0,ENSG00000116679,IVNS1ABP,1.1070911775162e-06,0.204549350506063,5.96190065103452
ENSG00000100285.9,1.0,-1.0,ENSG00000100285,NEFH,2.9024091425717e-05,0.262752716534423,5.20039108533512
ENSG00000136040.8,-1.0,1.0,ENSG00000136040,PLXNC1,0.0001714953294151,-0.141933583466101,-4.75176377494002
ENSG00000204856.11,1.0,-1.0,ENSG00000204856,FAM216A,0.0006751079426903,0.0781369503565855,4.36731429213869
ENSG00000036530.8,-1.0,1.0,ENSG00000036530,CYP46A1,0.0018604597358316,-0.0883291012072831,-4.050691360921
ENSG00000111262.4,1.0,-1.0,ENSG00000111262,KCNA1,0.0022915425690071,0.126387613954293,3.97968047808311
ENSG00000151917.17,1.0,-1.0,ENSG00000151917,BEND6,0.0107564590664668,0.0758806373121892,3.43177477106007
ENSG00000143858.11,1.0,-1.0,ENSG00000143858,SYT2,0.0124754441834796,0.133316445053341,3.37090368234048
ENSG00000177181.14,1.0,-1.0,ENSG00000177181,RIMKLA,0.0169958921401563,0.0706013501714907,3.24363931304843
ENSG00000006747.14,1.0,-1.0,ENSG00000006747,SCIN,0.0186644339017053,0.164287818530919,3.20844008980123
ENSG00000082497.11,1.0,-1.0,ENSG00000082497,SERTAD4,0.0252790290406542,0.0791867132211185,3.07781175413156
ENSG00000118242.15,1.0,-1.0,ENSG00000118242,MREG,0.0252790290406542,0.112288012904927,3.0777995180629
ENSG00000101079.20,1.0,-1.0,ENSG00000101079,NDRG3,0.0345903947251054,0.0383715777977888,2.93879230954601
ENSG00000105711.10,1.0,-1.0,ENSG00000105711,SCN1B,0.0423093461637011,0.065344337302011,2.84936485770279
ENSG00000232973.11,-1.0,1.0,ENSG00000232973,CYP1B1-AS1,0.047743938482234,-0.154245459036218,-2.79239699704994
